"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_MM_DD_YYYY","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,101228 ,2010-12-28,090741 ,CME ,00 ,090 ,  120992,    1779,   62715,    2805,   10209,    7138,     107,   49778,   11532,    3440,    8720,   15962,     500,   77340,  104201,   43652,   16791,   22305,      46,    7940,     535,     -14,     -78,       3,   17905,    5059,     519,     650,    5958,      84,   19729,   20020,    2576,    2285,  100.0,    1.5,   51.8,    2.3,    8.4,    5.9,    0.1,   41.1,    9.5,    2.8,    7.2,   13.2,    0.4,   63.9,   86.1,   36.1,   13.9,     86,      4,     16,      8,      4,      4,      .,     31,     12,     10,     12,      .,      .,     66,     43,    22.1,    41.2,    30.3,    58.4,    22.1,    41.1,    30.3,    57.9,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,101221 ,2010-12-21,090741 ,CME ,00 ,090 ,   98687,    1733,   54775,    2271,   10223,    7216,     104,   31873,    6473,    2921,    8070,   10004,     416,   57611,   84181,   41076,   14506,  -49821,   -7404,  -16306,  -20700,    -645,   -4232,      61,   -5364,    1078,  -11575,   -1362,    2522,      65,  -46925,  -49088,   -2896,    -733,  100.0,    1.8,   55.5,    2.3,   10.4,    7.3,    0.1,   32.3,    6.6,    3.0,    8.2,   10.1,    0.4,   58.4,   85.3,   41.6,   14.7,     74,      .,     17,      7,      4,      4,      .,     24,      9,      9,     11,      .,      .,     57,     38,    22.1,    43.3,    28.8,    59.0,    22.1,    43.0,    28.8,    58.4,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,101214 ,2010-12-14,090741 ,CME ,00 ,090 ,  148508,    9137,   71082,   22971,   10868,   11448,      43,   37237,    5395,   14497,    9432,    7482,     351,  104536,  133269,   43972,   15239,   27877,     -59,    6311,   16868,    -689,    1370,       0,   -2883,   -5995,   10297,    2195,    1478,      28,   25756,   30357,    2121,   -2480,  100.0,    6.2,   47.9,   15.5,    7.3,    7.7,    0.0,   25.1,    3.6,    9.8,    6.4,    5.0,    0.2,   70.4,   89.7,   29.6,   10.3,     85,      6,     16,     11,      4,      4,      .,     30,      9,     13,     14,      .,      .,     70,     43,    24.0,    35.9,    36.2,    59.0,    14.3,    29.8,    21.5,    45.1,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,101207 ,2010-12-07,090741 ,CME ,00 ,090 ,  120631,    9196,   64770,    6103,   11557,   10078,      43,   40120,   11390,    4200,    7237,    6004,     324,   78781,  102912,   41851,   17719,   10099,     824,    7846,      26,     456,    -947,       1,   10026,    3618,   -1251,     291,    1661,    -240,   10134,   10716,     -34,    -616,  100.0,    7.6,   53.7,    5.1,    9.6,    8.4,    0.0,   33.3,    9.4,    3.5,    6.0,    5.0,    0.3,   65.3,   85.3,   34.7,   14.7,     79,      6,     16,      9,      4,      .,      .,     27,     11,     11,     11,      .,      .,     61,     42,    23.2,    36.3,    34.5,    52.3,    22.3,    35.6,    32.9,    50.4,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,101130 ,2010-11-30,090741 ,CME ,00 ,090 ,  110532,    8372,   56924,    6077,   11101,   11025,      42,   30095,    7772,    5451,    6946,    4343,     563,   68647,   92196,   41885,   18336,   -4691,   -1423,   -2040,     440,     270,    -413,    -194,   -5809,   -2338,    1706,    -295,     -62,     107,   -5198,   -2795,     507,   -1896,  100.0,    7.6,   51.5,    5.5,   10.0,   10.0,    0.0,   27.2,    7.0,    4.9,    6.3,    3.9,    0.5,   62.1,   83.4,   37.9,   16.6,     83,      7,     14,      9,      4,      .,      .,     29,     13,     16,     10,      .,      .,     66,     47,    18.9,    36.8,    26.4,    53.2,    17.0,    36.7,    24.4,    51.4,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,101123 ,2010-11-23,090741 ,CME ,00 ,090 ,  115223,    9795,   58964,    5637,   10831,   11438,     236,   35904,   10110,    3745,    7241,    4405,     456,   73844,   94991,   41378,   20232,  -19408,    2303,  -13620,     741,     -19,     589,      84,  -18370,    -414,    -878,    -573,   -6520,    -289,  -17001,  -20307,   -2407,     899,  100.0,    8.5,   51.2,    4.9,    9.4,    9.9,    0.2,   31.2,    8.8,    3.3,    6.3,    3.8,    0.4,   64.1,   82.4,   35.9,   17.6,     84,      7,     15,     11,      4,      .,      .,     30,     11,     13,     11,      .,      .,     68,     46,    18.8,    35.7,    28.0,    51.1,    17.5,    35.3,    26.7,    49.3,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,101116 ,2010-11-16,090741 ,CME ,00 ,090 ,  134631,    7492,   72584,    4896,   10850,   10849,     152,   54274,   10524,    4623,    7813,   10925,     745,   90846,  115298,   43786,   19333,   -4178,    -190,    3149,     765,     737,     102,      85,   -3632,   -3054,     255,     180,   -4577,      55,   -1746,   -3221,   -2432,    -957,  100.0,    5.6,   53.9,    3.6,    8.1,    8.1,    0.1,   40.3,    7.8,    3.4,    5.8,    8.1,    0.6,   67.5,   85.6,   32.5,   14.4,     89,      6,     16,     10,      4,      .,      .,     32,     11,     13,     14,      .,      5,     71,     48,    23.5,    35.5,    33.4,    55.2,    23.5,    35.5,    32.7,    53.3,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,101109 ,2010-11-09,090741 ,CME ,00 ,090 ,  138810,    7682,   69435,    4131,   10113,   10747,      67,   57906,   13578,    4369,    7633,   15502,     691,   92592,  118519,   46218,   20291,   18861,    1222,   13602,   -2158,     733,     851,       0,   20129,    -642,   -2429,    -678,    8425,    -120,   16698,   17528,    2163,    1333,  100.0,    5.5,   50.0,    3.0,    7.3,    7.7,    0.0,   41.7,    9.8,    3.1,    5.5,   11.2,    0.5,   66.7,   85.4,   33.3,   14.6,     87,      6,     16,      9,      .,      .,      .,     31,     13,     13,     12,      .,      5,     67,     49,    25.6,    36.4,    36.9,    55.5,    25.6,    35.9,    36.7,    53.7,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,101102 ,2010-11-02,090741 ,CME ,00 ,090 ,  119949,    6461,   55833,    6289,    9380,    9896,      67,   37777,   14220,    6798,    8311,    7077,     811,   75894,  100991,   44055,   18958,    4011,    2126,    -992,     435,     347,     242,    -350,    1416,    3637,    -132,      93,    -402,      -4,    3931,    2435,      80,    1576,  100.0,    5.4,   46.5,    5.2,    7.8,    8.3,    0.1,   31.5,   11.9,    5.7,    6.9,    5.9,    0.7,   63.3,   84.2,   36.7,   15.8,     87,      7,     15,     11,      .,      .,      .,     29,     15,     18,     13,      .,      5,     70,     53,    20.3,    34.9,    30.3,    51.8,    19.6,    34.3,    29.3,    49.2,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE" ,101026 ,2010-10-26,090741 ,CME ,00 ,090 ,  115937,    4335,   56825,    5854,    9033,    9654,     417,   36361,   10582,    6930,    8218,    7480,     814,   71963,   98556,   43975,   17381,  -10692,     110,  -11227,     176,    -920,     536,     249,   -8716,    -597,     855,   -1031,     -31,    -125,   -9401,  -10164,   -1291,    -528,  100.0,    3.7,   49.0,    5.0,    7.8,    8.3,    0.4,   31.4,    9.1,    6.0,    7.1,    6.5,    0.7,   62.1,   85.0,   37.9,   15.0,     83,      5,     15,     10,      .,      .,      .,     30,     13,     17,     13,      .,      5,     68,     50,    18.6,    36.6,    28.7,    54.0,    18.1,    36.2,    27.0,    52.4,"(CONTRACTS OF CAD 100,000)" ,"090741" ,"CME" ,"090" ,"F10" ,"Combined"
