"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250923,2025-09-23,090741,CME ,00,090 ,  229653,  119285,    6722,    2107,   37648,   98141,    6275,   16652,   66784,   15237,    9139,    2258,       5,  206347,  197529,   23306,   32124,  -55749,    1411,   -3852,  -54262,     632,    2403,    -727,    -441,    1827,   -2116,     384,    -599,       0,  -55119,  -57325,    -630,    1576,  100.0,   51.9,    2.9,    0.9,   16.4,   42.7,    2.7,    7.3,   29.1,    6.6,    4.0,    1.0,    0.0,   89.9,   86.0,   10.1,   14.0,    125,     10,      5,      8,     21,     23,     12,     19,     31,     15,     10,      6,.,     79,     83,    52.3,    31.8,    61.3,    45.3,    52.2,    31.8,    59.5,    45.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250916,2025-09-16,090741,CME ,00,090 ,  285402,  117874,   10573,   56369,   37016,   95738,    7002,   17093,   64957,   17352,    8755,    2857,       5,  261465,  254854,   23937,   30548,   18208,   -9011,   -4588,   32619,    3787,   -2524,   -4085,     464,     658,   -2104,    -766,     160,     -22,   20882,   20114,   -2674,   -1906,  100.0,   41.3,    3.7,   19.8,   13.0,   33.5,    2.5,    6.0,   22.8,    6.1,    3.1,    1.0,    0.0,   91.6,   89.3,    8.4,   10.7,    126,      8,      8,     11,     19,     27,     14,     20,     29,     17,      9,      6,.,     81,     89,    50.4,    36.9,    63.6,    50.1,    38.7,    23.4,    46.5,    34.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250909,2025-09-09,090741,CME ,00,090 ,  267194,  126885,   15161,   23750,   33229,   98262,   11087,   16629,   64299,   19456,    9521,    2697,      27,  240584,  234740,   26610,   32454,   30978,     181,   -1905,   18867,    -843,     -87,    -490,    4215,    5587,    6486,      21,       7,      15,   28452,   28481,    2526,    2497,  100.0,   47.5,    5.7,    8.9,   12.4,   36.8,    4.1,    6.2,   24.1,    7.3,    3.6,    1.0,    0.0,   90.0,   87.9,   10.0,   12.1,    119,      8,      8,     12,     16,     26,     13,     20,     26,     20,      9,      6,.,     81,     86,    48.0,    34.1,    60.8,    48.7,    45.0,    26.2,    53.2,    39.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250902,2025-09-02,090741,CME ,00,090 ,  236216,  126704,   17067,    4883,   34072,   98348,   11578,   12413,   58712,   12970,    9500,    2690,      12,  212132,  206259,   24084,   29957,   -1523,    4006,    -664,    1582,     422,   -5288,    -960,   -4944,    3040,    1545,      54,    -391,       0,    1705,   -1136,   -3228,    -387,  100.0,   53.6,    7.2,    2.1,   14.4,   41.6,    4.9,    5.3,   24.9,    5.5,    4.0,    1.1,    0.0,   89.8,   87.3,   10.2,   12.7,    115,      8,      8,     11,     20,     25,     12,     15,     24,     13,     10,      5,.,     76,     78,    51.0,    30.7,    62.1,    48.2,    50.9,    28.5,    60.0,    45.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250826,2025-08-26,090741,CME ,00,090 ,  237739,  122698,   17731,    3300,   33649,  103637,   12537,   17358,   55672,   11426,    9447,    3081,      12,  210427,  207395,   27312,   30344,    7612,    2954,     105,     659,       3,    4212,    -237,    1040,    3520,     367,    1143,    1365,     -26,    5902,    9965,    1710,   -2353,  100.0,   51.6,    7.5,    1.4,   14.2,   43.6,    5.3,    7.3,   23.4,    4.8,    4.0,    1.3,    0.0,   88.5,   87.2,   11.5,   12.8,    113,      8,      8,     10,     17,     24,     11,     18,     21,     13,     11,      6,.,     72,     78,    48.5,    32.8,    60.0,    49.2,    48.4,    30.1,    58.1,    46.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250819,2025-08-19,090741,CME ,00,090 ,  230127,  119744,   17626,    2641,   33647,   99424,   12774,   16318,   52152,   11059,    8304,    1716,      38,  204525,  197430,   25602,   32697,    1359,    2154,   -1528,     521,    1233,   -3343,     -73,   -2930,    1106,     565,    -615,    -486,       1,     856,   -3238,     503,    4597,  100.0,   52.0,    7.7,    1.1,   14.6,   43.2,    5.6,    7.1,   22.7,    4.8,    3.6,    0.7,    0.0,   88.9,   85.8,   11.1,   14.2,    113,      8,      7,     10,     18,     26,     12,     17,     24,     14,      9,      4,      4,     72,     81,    50.8,    32.7,    61.1,    49.2,    50.8,    29.8,    58.7,    46.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250812,2025-08-12,090741,CME ,00,090 ,  228768,  117590,   19154,    2120,   32413,  102767,   12848,   19248,   51046,   10494,    8919,    2202,      37,  203669,  200668,   25099,   28100,    3826,    5458,   -1171,     607,    -183,    8464,   -1220,    -626,    -672,   -1248,     130,    -310,      -0,    2919,    4452,     907,    -626,  100.0,   51.4,    8.4,    0.9,   14.2,   44.9,    5.6,    8.4,   22.3,    4.6,    3.9,    1.0,    0.0,   89.0,   87.7,   11.0,   12.3,    105,      8,      7,      9,     15,     25,     12,     18,     17,     13,     11,      4,.,     71,     71,    49.8,    30.8,    60.6,    48.6,    49.7,    27.6,    57.9,    45.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250805,2025-08-05,090741,CME ,00,090 ,  224942,  112132,   20325,    1513,   32596,   94303,   14067,   19874,   51718,   11742,    8789,    2512,      37,  200750,  196216,   24192,   28726,   12228,   16316,     220,   -1183,   -4730,    6796,    -248,    4404,    4078,    -415,    -412,    -278,      -1,   13731,    8969,   -1503,    3259,  100.0,   49.8,    9.0,    0.7,   14.5,   41.9,    6.3,    8.8,   23.0,    5.2,    3.9,    1.1,    0.0,   89.2,   87.2,   10.8,   12.8,    111,      8,      7,      9,     17,     24,     11,     19,     20,     13,     11,      5,.,     72,     75,    49.0,    28.4,    59.0,    45.6,    48.9,    25.1,    56.5,    42.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250729,2025-07-29,090741,CME ,00,090 ,  212714,   95816,   20105,    2696,   37326,   87508,   14315,   15470,   47640,   12157,    9201,    2789,      38,  187019,  187247,   25695,   25467,    -104,    1518,   -3556,     933,    1853,    4230,     500,   -4994,   -2549,       8,    -408,     661,     -14,    -603,     213,     499,    -317,  100.0,   45.0,    9.5,    1.3,   17.5,   41.1,    6.7,    7.3,   22.4,    5.7,    4.3,    1.3,    0.0,   87.9,   88.0,   12.1,   12.0,    115,      7,      7,      9,     22,     24,     11,     19,     19,     12,     12,      5,.,     76,     74,    49.6,    30.6,    57.3,    47.9,    47.8,    27.0,    53.7,    44.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250722,2025-07-22,090741,CME ,00,090 ,  212818,   94298,   23661,    1763,   35473,   83278,   13815,   20464,   50189,   12149,    9608,    2128,      52,  187622,  187035,   25196,   25783,    1166,     309,   -2382,     571,   -1351,   -3486,     707,    2087,    5419,    2599,     521,    -849,      34,    5477,    2615,   -4311,   -1449,  100.0,   44.3,   11.1,    0.8,   16.7,   39.1,    6.5,    9.6,   23.6,    5.7,    4.5,    1.0,    0.0,   88.2,   87.9,   11.8,   12.1,    115,      7,      9,     10,     19,     24,     12,     18,     21,     13,     13,      4,      4,     81,     73,    48.2,    30.8,    55.9,    47.4,    46.7,    27.2,    53.0,    43.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","Combined"
