"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Dealer_Positions_Long_All","Dealer_Positions_Short_All","Dealer_Positions_Spread_All","Asset_Mgr_Positions_Long_All","Asset_Mgr_Positions_Short_All","Asset_Mgr_Positions_Spread_All","Lev_Money_Positions_Long_All","Lev_Money_Positions_Short_All","Lev_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Change_in_Open_Interest_All","Change_in_Dealer_Long_All","Change_in_Dealer_Short_All","Change_in_Dealer_Spread_All","Change_in_Asset_Mgr_Long_All","Change_in_Asset_Mgr_Short_All","Change_in_Asset_Mgr_Spread_All","Change_in_Lev_Money_Long_All","Change_in_Lev_Money_Short_All","Change_in_Lev_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Dealer_Long_All","Pct_of_OI_Dealer_Short_All","Pct_of_OI_Dealer_Spread_All","Pct_of_OI_Asset_Mgr_Long_All","Pct_of_OI_Asset_Mgr_Short_All","Pct_of_OI_Asset_Mgr_Spread_All","Pct_of_OI_Lev_Money_Long_All","Pct_of_OI_Lev_Money_Short_All","Pct_of_OI_Lev_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Traders_Tot_All","Traders_Dealer_Long_All","Traders_Dealer_Short_All","Traders_Dealer_Spread_All","Traders_Asset_Mgr_Long_All","Traders_Asset_Mgr_Short_All","Traders_Asset_Mgr_Spread_All","Traders_Lev_Money_Long_All","Traders_Lev_Money_Short_All","Traders_Lev_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250923,2025-09-23,090741,CME ,00,090 ,  212186,  118769,    6552,     154,   36624,   97899,    5671,   17289,   66045,    2631,    9139,    1950,       5,  190282,  180907,   21904,   31279,  -54661,    1400,   -3538,  -54232,     -19,    3106,    -632,     511,    1023,   -1366,     384,    -686,       0,  -53954,  -56325,    -707,    1664,  100.0,   56.0,    3.1,    0.1,   17.3,   46.1,    2.7,    8.1,   31.1,    1.2,    4.3,    0.9,    0.0,   89.7,   85.3,   10.3,   14.7,    118,      9,      5,.,     19,     22,     10,     21,     28,     10,     10,      4,.,     71,     71,    56.6,    34.4,    65.0,    49.0,    56.5,    34.4,    64.2,    49.0,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250916,2025-09-16,090741,CME ,00,090 ,  266847,  117369,   10090,   54386,   36643,   94793,    6303,   16778,   65022,    3997,    8755,    2636,       5,  244236,  237232,   22611,   29615,   17543,   -8406,   -4979,   32816,    3943,   -2626,   -4233,      -7,     890,   -3177,    -766,     599,     -22,   20148,   19268,   -2605,   -1725,  100.0,   44.0,    3.8,   20.4,   13.7,   35.5,    2.4,    6.3,   24.4,    1.5,    3.3,    1.0,    0.0,   91.5,   88.9,    8.5,   11.1,    120,      9,      7,      6,     18,     25,     12,     20,     28,     11,      9,      4,.,     74,     77,    53.8,    39.4,    67.1,    53.6,    41.3,    25.1,    49.7,    37.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250909,2025-09-09,090741,CME ,00,090 ,  249304,  125775,   15069,   21570,   32700,   97419,   10536,   16785,   64132,    7174,    9521,    2037,      27,  224088,  217964,   25216,   31340,   23982,     317,   -1905,   19251,   -1014,   -1327,      27,    2239,    5557,     308,     107,    -418,      17,   21252,   21510,    2730,    2472,  100.0,   50.5,    6.0,    8.7,   13.1,   39.1,    4.2,    6.7,   25.7,    2.9,    3.8,    0.8,    0.0,   89.9,   87.4,   10.1,   12.6,    112,      8,      8,      5,     14,     25,     11,     20,     25,     14,      9,.,.,     72,     73,    51.0,    36.6,    64.2,    52.2,    47.8,    28.1,    56.6,    42.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250902,2025-09-02,090741,CME ,00,090 ,  225322,  125458,   16974,    2319,   33714,   98746,   10509,   14546,   58575,    6866,    9414,    2455,      10,  202836,  196454,   22486,   28868,   -1858,    3065,   -1037,    1704,     532,   -5697,    -575,   -4975,    2911,    1325,      45,    -347,       0,    1121,   -1716,   -2979,    -142,  100.0,   55.7,    7.5,    1.0,   15.0,   43.8,    4.7,    6.5,   26.0,    3.0,    4.2,    1.1,    0.0,   90.0,   87.2,   10.0,   12.8,    110,      8,      8,      6,     17,     25,     10,     17,     22,     10,     10,.,.,     68,     70,    53.1,    32.1,    64.7,    50.6,    53.1,    29.8,    62.7,    47.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250826,2025-08-26,090741,CME ,00,090 ,  227180,  122393,   18011,     615,   33182,  104443,   11084,   19521,   55664,    5541,    9369,    2802,      10,  201715,  198170,   25465,   29010,    6321,    2252,      28,     352,     644,    4611,    -750,    1506,    3737,    -567,    1139,    1359,     -26,    4550,    8744,    1771,   -2423,  100.0,   53.9,    7.9,    0.3,   14.6,   46.0,    4.9,    8.6,   24.5,    2.4,    4.1,    1.2,    0.0,   88.8,   87.2,   11.2,   12.8,    108,      9,      7,      5,     14,     24,     10,     19,     20,     10,     11,      4,.,     66,     69,    50.5,    34.3,    62.5,    51.5,    50.5,    31.5,    60.7,    48.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250819,2025-08-19,090741,CME ,00,090 ,  220859,  120141,   17983,     263,   32538,   99832,   11834,   18015,   51927,    6108,    8230,    1443,      36,  197165,  189426,   23694,   31433,    -250,    2767,    -991,    -515,     284,   -3263,    -203,   -2271,     881,    -218,    -438,    -530,       2,    -592,   -4837,     342,    4587,  100.0,   54.4,    8.1,    0.1,   14.7,   45.2,    5.4,    8.2,   23.5,    2.8,    3.7,    0.7,    0.0,   89.3,   85.8,   10.7,   14.2,    108,      8,      7,      4,     15,     26,     11,     18,     23,     12,      9,.,.,     65,     73,    52.7,    34.1,    63.4,    51.2,    52.7,    31.1,    61.0,    48.2,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250812,2025-08-12,090741,CME ,00,090 ,  221109,  117374,   18974,     778,   32254,  103095,   12037,   20286,   51046,    6326,    8668,    1973,      34,  197757,  194263,   23352,   26846,    6260,    5183,    -528,     628,     -37,    7185,    -310,   -1533,    -665,    1061,     134,    -282,       0,    5126,    7089,    1134,    -829,  100.0,   53.1,    8.6,    0.4,   14.6,   46.6,    5.4,    9.2,   23.1,    2.9,    3.9,    0.9,    0.0,   89.4,   87.9,   10.6,   12.1,    100,      8,      7,.,     14,     24,     11,     18,     17,     10,     10,.,.,     64,     62,    51.4,    31.9,    62.6,    50.3,    51.4,    28.5,    59.9,    46.8,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250805,2025-08-05,090741,CME ,00,090 ,  214849,  112191,   19502,     150,   32291,   95910,   12347,   21819,   51711,    5265,    8534,    2255,      34,  192631,  187174,   22218,   27675,   12997,   16359,     -35,    -463,   -4209,    7611,    -968,    4264,    4071,      20,    -400,    -235,       0,   14603,   10001,   -1606,    2996,  100.0,   52.2,    9.1,    0.1,   15.0,   44.6,    5.7,   10.2,   24.1,    2.5,    4.0,    1.0,    0.0,   89.7,   87.1,   10.3,   12.9,    107,      8,      7,.,     15,     25,     10,     20,     19,      9,     10,.,.,     65,     66,    51.2,    29.7,    61.7,    47.8,    51.2,    26.3,    59.2,    44.3,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250729,2025-07-29,090741,CME ,00,090 ,  201852,   95832,   19537,     613,   36500,   88299,   13315,   17555,   47640,    5245,    8934,    2490,      34,  178028,  177173,   23824,   24679,     957,    1410,   -2760,     420,    1144,    5309,     223,   -1945,   -2485,    -123,    -339,     518,     -10,     780,    1092,     177,    -135,  100.0,   47.5,    9.7,    0.3,   18.1,   43.7,    6.6,    8.7,   23.6,    2.6,    4.4,    1.2,    0.0,   88.2,   87.8,   11.8,   12.2,    111,      7,      7,.,     20,     25,     10,     19,     19,     10,     11,.,.,     69,     67,    52.1,    32.2,    59.9,    50.4,    50.4,    28.5,    56.6,    46.6,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
"CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE",250722,2025-07-22,090741,CME ,00,090 ,  200895,   94422,   22297,     193,   35356,   82990,   13092,   19500,   50125,    5368,    9273,    1972,      44,  177248,  176081,   23647,   24814,   -1825,     422,   -2599,     192,    -902,   -4019,     795,     704,    5609,     641,     480,    -782,      32,    2364,    -131,   -4189,   -1694,  100.0,   47.0,   11.1,    0.1,   17.6,   41.3,    6.5,    9.7,   25.0,    2.7,    4.6,    1.0,    0.0,   88.2,   87.6,   11.8,   12.4,    111,      8,      8,.,     18,     24,     10,     18,     21,     11,     12,.,.,     72,     66,    51.1,    32.6,    59.0,    50.2,    49.5,    28.8,    56.0,    46.4,"(CONTRACTS OF CAD 100,000)","090741","CME ","090 ","F10","FutOnly"
