docID,edinetCode,secCode,submitDateTime,periodStart,periodEnd,parentDocID
S1004LKJ,E00375,22120,2015-05-13 09:00,2015-01-01,2015-03-31,
S1004NT7,E01971,68170,2015-05-13 09:00,2015-01-01,2015-03-31,
S1004NNB,E04025,89280,2015-05-13 09:03,2015-01-01,2015-03-31,
S1004OBG,E27046,32610,2015-05-13 09:12,2015-01-01,2015-03-31,
S1004NIA,E01114,51840,2015-05-13 09:12,2015-01-01,2015-03-31,
S1004O41,E03092,81650,2015-05-13 09:15,2015-01-01,2015-03-31,
S1004NGP,E30929,60990,2015-05-13 09:16,2015-01-01,2015-03-31,
S1004O5W,E02378,79360,2015-05-13 09:17,2015-01-01,2015-03-31,
S1004NUL,E00708,39480,2015-05-13 09:22,2015-01-01,2015-03-31,
S1004OC3,E21740,,2015-05-13 09:43,2015-01-01,2015-03-31,
S1004NGH,E02672,81510,2015-05-13 09:43,2015-01-01,2015-03-31,
S1004O38,E31284,34570,2015-05-13 09:45,2015-01-01,2015-03-31,
S1004OBS,E05301,45630,2015-05-13 09:48,2015-01-01,2015-03-31,
S1004OCU,E05733,,2015-05-13 09:50,2015-01-01,2015-03-31,
S1004O0Y,E02991,33860,2015-05-13 09:53,2015-01-01,2015-03-31,
S1004O8L,E03497,30640,2015-05-13 09:54,2015-01-01,2015-03-31,
S1004NHK,E02861,75310,2015-05-13 09:55,2015-01-01,2015-03-31,
S1004NTW,E01676,62770,2015-05-13 09:56,2015-01-01,2015-03-31,
S1004ODA,E05695,21540,2015-05-13 09:58,2015-01-01,2015-03-31,
S1004NTN,E00523,30030,2015-05-13 10:00,2015-01-01,2015-03-31,
S1004MHI,E02701,98300,2015-05-13 10:00,2015-01-01,2015-03-31,
S1004NKX,E05088,47720,2015-05-13 10:03,2015-01-01,2015-03-31,
S1004NE3,E03287,75450,2015-05-13 10:04,2014-02-21,2015-02-20,
S1004NIE,E00315,17180,2015-05-13 10:14,2015-01-01,2015-03-31,
S1004OEU,E04365,93760,2015-05-13 10:18,2015-01-01,2015-03-31,
S1004O68,E05181,94460,2015-05-13 10:19,2015-01-01,2015-03-31,
S1004NX7,E02887,,2015-05-13 10:26,2015-01-01,2015-03-31,
S1004O33,E00495,29170,2015-05-13 10:32,2015-01-01,2015-03-31,
S1004OEE,E01659,59460,2015-05-13 10:35,2015-01-01,2015-03-31,
S1004NS3,E05241,27210,2015-05-13 10:39,2015-01-01,2015-03-31,
S1004MTV,E02168,72720,2015-05-13 10:41,2015-01-01,2015-03-31,
S1004NUM,E00010,13820,2015-05-13 10:48,2015-01-01,2015-03-31,
S1004NX9,E03331,76360,2015-05-13 10:49,2015-01-01,2015-03-31,
S1004OGI,E05497,37750,2015-05-13 10:56,2015-01-01,2015-03-31,
S1004NWZ,E00883,44520,2015-05-13 10:56,2015-01-01,2015-03-31,
S1004O04,E01381,59210,2015-05-13 10:57,2015-01-01,2015-03-31,
S1004O8R,E24129,31600,2015-05-13 10:59,2014-12-01,2015-02-28,
S1004O6Y,E04038,89440,2015-05-13 11:17,2015-01-01,2015-03-31,
S1004OHW,E01028,41070,2015-05-13 11:18,2015-01-01,2015-03-31,
S1004NZD,E03404,27620,2015-05-13 11:21,2015-01-01,2015-03-31,
S1004OHD,E30880,33000,2015-05-13 11:25,2015-01-01,2015-03-31,
S1004OEM,E00133,18970,2015-05-13 11:33,2015-01-01,2015-03-31,
S1004OJ2,E05545,37880,2015-05-13 11:40,2015-01-01,2015-03-31,
S1004NZ3,E03327,76250,2015-05-13 11:53,2015-01-01,2015-03-31,
S1004NUP,E00329,14140,2015-05-13 11:55,2015-01-01,2015-03-31,
S1004OKD,E05623,21220,2015-05-13 12:29,2015-01-01,2015-03-31,
S1004ODC,E24917,60500,2015-05-13 12:32,2015-01-01,2015-03-31,
S1004OFN,E05196,,2015-05-13 13:04,2015-01-01,2015-03-31,
S1004O2K,E04888,,2015-05-13 13:34,2015-01-01,2015-03-31,
S1004NMN,E25786,,2015-05-13 13:38,2015-01-01,2015-03-31,
S1004O18,E05099,47680,2015-05-13 13:45,2015-01-01,2015-03-31,
S1004O75,E00196,18990,2015-05-13 13:54,2015-01-01,2015-03-31,
S1004OH6,E00736,78490,2015-05-13 14:09,2015-01-01,2015-03-31,
S1004O2C,E00299,17430,2015-05-13 14:27,2015-01-01,2015-03-31,
S1004ONL,E04999,47040,2015-05-13 14:28,2015-01-01,2015-03-31,
S1004ONI,E27062,36680,2015-05-13 14:30,2015-01-01,2015-03-31,
S1004O4B,E04848,96990,2015-05-13 14:37,2015-01-01,2015-03-31,
S1004MUU,E30133,42450,2015-05-13 14:51,2015-01-01,2015-03-31,
S1004NPM,E25867,36560,2015-05-13 15:02,2015-01-01,2015-03-31,
S1004O6H,E01086,51080,2015-05-13 15:07,2015-01-01,2015-03-31,
S1004OC5,E27622,25870,2015-05-13 15:08,2015-01-01,2015-03-31,
S1004NKY,E01068,49760,2015-05-13 15:08,2015-01-01,2015-03-31,
S1004O09,E04984,,2015-05-13 15:08,2015-01-01,2015-03-31,
S1004OA4,E01965,,2015-05-13 15:09,2015-01-01,2015-03-31,
S1004O8D,E05395,37260,2015-05-13 15:09,2015-01-01,2015-03-31,
S1004OMX,E24392,36390,2015-05-13 15:11,2015-01-01,2015-03-31,
S1004OPJ,E30461,,2015-05-13 15:12,2015-01-01,2015-03-31,
S1004O44,E00320,17160,2015-05-13 15:14,2015-01-01,2015-03-31,
S1004L05,E00987,45720,2015-05-13 15:15,2015-01-01,2015-03-31,
S1004O0S,E05494,37760,2015-05-13 15:23,2015-01-01,2015-03-31,
S1004O9O,E31052,94180,2015-05-13 15:23,2015-01-01,2015-03-31,
S1004OAE,E31093,39040,2015-05-13 15:30,2015-01-01,2015-03-31,
S1004O6E,E31436,39140,2015-05-13 15:35,2015-01-01,2015-03-31,
S1004OKA,E31024,34520,2015-05-13 15:36,2015-01-01,2015-03-31,
S1004OKE,E25817,36550,2015-05-13 15:37,2015-01-01,2015-03-31,
S1004NMX,E05282,43560,2015-05-13 15:38,2015-01-01,2015-03-31,
S1004NVU,E04008,89120,2015-05-13 15:42,2015-01-01,2015-03-31,
S1004N3Z,E05712,21600,2015-05-13 15:42,2015-01-01,2015-03-31,
S1004LG4,E05049,94380,2015-05-13 15:54,2015-01-01,2015-03-31,
S1004OLO,E30053,60810,2015-05-13 15:57,2015-01-01,2015-03-31,
