date,open,high,low,close,volume,rs_nikkei,rs_topix,rs
2024/05/28,1282.0,1300.0,1075.0,1140.0,3720300,-1.0,-1.0,-1.0
2024/05/29,1080.0,1410.0,1027.0,1056.0,5198600,-1.0,-1.0,-1.0
2024/05/30,1066.0,1215.0,1048.0,1130.0,2488000,-1.0,-1.0,-1.0
2024/05/31,1160.0,1215.0,1095.0,1095.0,1137000,-1.0,-1.0,-1.0
2024/06/03,1125.0,1125.0,1020.0,1020.0,236200,-1.0,-1.0,-1.0
2024/06/04,1005.0,1010.0,952.0,969.0,232200,-1.0,-1.0,-1.0
2024/06/05,999.0,1030.0,958.0,960.0,161000,-1.0,-1.0,-1.0
2024/06/06,961.0,970.0,880.0,880.0,193300,-1.0,-1.0,-1.0
2024/06/07,865.0,877.0,816.0,820.0,169000,-1.0,-1.0,-1.0
2024/06/10,818.0,848.0,818.0,837.0,67200,-1.0,-1.0,-1.0
2024/06/11,838.0,855.0,826.0,845.0,54100,-1.0,-1.0,-1.0
2024/06/12,847.0,866.0,845.0,860.0,44600,-1.0,-1.0,-1.0
2024/06/13,867.0,867.0,821.0,822.0,55800,-1.0,-1.0,-1.0
2024/06/14,820.0,840.0,820.0,837.0,19600,-1.0,-1.0,-1.0
2024/06/17,957.0,984.0,884.0,884.0,513400,-1.0,-1.0,-1.0
2024/06/18,891.0,932.0,856.0,916.0,180200,-1.0,-1.0,-1.0
2024/06/19,904.0,1066.0,864.0,1066.0,700600,-1.0,-1.0,-1.0
2024/06/20,1106.0,1140.0,954.0,965.0,1692900,-1.0,-1.0,-1.0
2024/06/21,980.0,1115.0,976.0,1017.0,1891300,-1.0,-1.0,-1.0
2024/06/24,1098.0,1317.0,1063.0,1277.0,5963700,-1.0,-1.0,-1.0
2024/06/25,1217.0,1239.0,1130.0,1149.0,1458400,-1.0,-1.0,-1.0
2024/06/26,1185.0,1205.0,1073.0,1080.0,883900,-1.0,-1.0,-1.0
2024/06/27,1089.0,1140.0,1018.0,1027.0,524100,-1.0,-1.0,-1.0
2024/06/28,1012.0,1105.0,970.0,1002.0,604900,-1.0,-1.0,-1.0
2024/07/01,980.0,1028.0,979.0,984.0,167500,-1.0,-1.0,-1.0
2024/07/02,973.0,990.0,940.0,970.0,214900,-1.0,-1.0,-1.0
2024/07/03,984.0,984.0,941.0,941.0,79100,-1.0,-1.0,-1.0
2024/07/04,937.0,937.0,898.0,903.0,133300,-1.0,-1.0,-1.0
2024/07/05,895.0,919.0,876.0,891.0,111800,-1.0,-1.0,-1.0
2024/07/08,915.0,929.0,895.0,905.0,101300,-1.0,-1.0,-1.0
2024/07/09,905.0,934.0,883.0,919.0,102000,-1.0,-1.0,-1.0
2024/07/10,915.0,930.0,885.0,891.0,72800,-1.0,-1.0,-1.0
2024/07/11,896.0,898.0,868.0,879.0,77000,-1.0,-1.0,-1.0
2024/07/12,866.0,920.0,866.0,906.0,95500,-1.0,-1.0,-1.0
2024/07/16,930.0,1000.0,908.0,975.0,229400,-1.0,-1.0,-1.0
2024/07/17,972.0,1010.0,949.0,997.0,157600,-1.0,-1.0,-1.0
2024/07/18,1000.0,1015.0,952.0,952.0,76700,-1.0,-1.0,-1.0
2024/07/19,951.0,962.0,899.0,910.0,106200,-1.0,-1.0,-1.0
2024/07/22,910.0,910.0,882.0,894.0,40400,-1.0,-1.0,-1.0
2024/07/23,883.0,908.0,864.0,866.0,78100,-1.0,-1.0,-1.0
2024/07/24,880.0,902.0,839.0,839.0,75900,-1.0,-1.0,-1.0
2024/07/25,820.0,845.0,810.0,830.0,63800,-1.0,-1.0,-1.0
2024/07/26,835.0,841.0,815.0,815.0,31600,-1.0,-1.0,-1.0
2024/07/29,825.0,837.0,810.0,823.0,49100,-1.0,-1.0,-1.0
2024/07/30,830.0,933.0,812.0,848.0,211400,-1.0,-1.0,-1.0
2024/07/31,838.0,849.0,818.0,849.0,42700,-1.0,-1.0,-1.0
2024/08/01,837.0,837.0,801.0,806.0,62500,-1.0,-1.0,-1.0
2024/08/02,751.0,779.0,731.0,743.0,82100,-1.0,-1.0,-1.0
2024/08/05,688.0,690.0,593.0,593.0,182100,-1.0,-1.0,-1.0
2024/08/06,621.0,668.0,612.0,635.0,56900,-1.0,-1.0,-1.0
2024/08/07,635.0,679.0,635.0,654.0,38500,-1.0,-1.0,-1.0
2024/08/08,654.0,720.0,639.0,720.0,57200,-1.0,-1.0,-1.0
2024/08/09,720.0,720.0,687.0,714.0,32500,-1.0,-1.0,-1.0
2024/08/13,728.0,731.0,695.0,716.0,24000,-1.0,-1.0,-1.0
2024/08/14,717.0,734.0,705.0,718.0,11000,-1.0,-1.0,-1.0
2024/08/15,721.0,765.0,710.0,749.0,33800,-1.0,-1.0,-1.0
2024/08/16,749.0,794.0,745.0,783.0,31200,-1.0,-1.0,-1.0
2024/08/19,792.0,813.0,763.0,800.0,35900,-1.0,-1.0,-1.0
2024/08/20,801.0,819.0,780.0,804.0,19900,-1.0,-1.0,-1.0
2024/08/21,805.0,845.0,795.0,810.0,29300,-1.0,-1.0,-1.0
2024/08/22,810.0,840.0,793.0,800.0,21400,-1.0,-1.0,-1.0
2024/08/23,794.0,801.0,773.0,788.0,15200,-1.0,-1.0,-1.0
2024/08/26,777.0,822.0,777.0,820.0,18300,-1.0,-1.0,-1.0
2024/08/27,821.0,854.0,820.0,845.0,42200,-1.0,-1.0,-1.0
2024/08/28,845.0,869.0,792.0,816.0,36500,-1.0,-1.0,-1.0
2024/08/29,815.0,821.0,791.0,808.0,8700,-1.0,-1.0,-1.0
2024/08/30,822.0,831.0,802.0,810.0,13200,-1.0,-1.0,-1.0
2024/09/02,814.0,814.0,793.0,801.0,7600,-1.0,-1.0,-1.0
2024/09/03,816.0,828.0,810.0,810.0,12200,-1.0,-1.0,-1.0
2024/09/04,791.0,801.0,770.0,772.0,20700,-1.0,-1.0,-1.0
2024/09/05,770.0,794.0,765.0,785.0,10800,-1.0,-1.0,-1.0
