year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2022,8,12,,False,,,-23,-24,-1.2,0
2023,8,12,,False,7781,1559,1281,806,40.3,0
2024,5,3,,False,2215,509,470,247,12.4,
2024,8,3,,False,2268,696,656,498,24.9,
2024,8,12,,False,8403,2151,1773,1147,57.4,96.59
2024,11,3,,False,1742,546,511,362,18.1,
2025,2,3,,False,1913,599,560,401,20.1,
2025,5,3,,False,2400,948,906,608,30.4,
2025,8,3,25/10/15,False,2480,933,895,696,34.8,
2025,8,12,25/10/15,False,8535,3026,2872,2067,103.4,36.2
2025,11,3,26/01/14,False,1929,507,468,335,16.8,
2026,8,12,25/10/15,True,9209,3421,3243,2232,111.6,
