year,month,duration,annoounce_date,is_prediction,total_revenue,operating_income,ordinary_profit,net_income,eps,divident
2022,3,12,,False,2190092,,79886,41638,5.8,5.78
2023,3,12,,False,2137696,,122370,118525,16.6,7
2024,3,12,,False,3450300,,54358,41176,5.8,0
2024,6,3,,False,908850,,-15455,-12253,-1.7,
2024,9,3,,False,374929,,41121,30058,4.2,
2024,12,3,,False,1042866,,28338,18714,2.6,
2025,3,3,,False,292067,,-9115,42272,5.9,
2025,3,12,,False,2618712,,44889,78791,11.0,0
2025,6,3,25/08/08,False,732464,,-58611,-43586,-6.1,
2025,9,3,25/11/14,False,799965,,39260,26118,3.7,
2025,12,3,26/02/13,False,1027174,,117986,84617,12.0,
2026,3,12,25/09/29,True,,,122000,82000,11.7,3.5
2026,3,12,26/02/13,True,,,79000,50000,7.4,3.8
