filing_date,code,fiscal_year_end,quarterly_period,net_sales,net_sales_change,revenue,revenue_change,operating_revenue,operating_revenue_change,operating_profit,operating_profit_change,ordinary_profit,ordinary_profit_change,net_income,net_income_of_parent,net_income_change,eps,diluted_eps,roe,roa,operating_profit_to_net_sales,operating_profit_to_revenue,total_assets,net_assets,equity_ratio,bps,owner_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash,dividend_per_share,payout_ratio,commemorative_dividend,extra_dividend,number_of_shares,number_of_treqsury_shares,avg_number_of_shares,is_consolidated,is_forecast,duration,period_start,period_end,period_pos
2024-05-13,167A0,2024-03-31,,415000000000,,,,,,13000000000,,11000000000,,,8000000000,,199.88,,,,,,,,,,,,,,,,,,,,,,true,true,12,2023-04-01,2024-03-31,0
2024-05-13,167A0,2024-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.00,,,,,,,false,true,12,2023-04-01,2024-03-31,0
2024-08-08,167A0,2025-03-31,1,89800000000,,,,,,1355000000,,1054000000,,,4083000000,,102.01,101.94,,,,,252587000000,133672000000,0.529,3339.06,133644000000,,,,,,,,,,,,true,false,3,2024-04-01,2024-06-30,0
2024-08-08,167A0,2025-03-31,1,415000000000,,,,,,13000000000,,11000000000,,,8000000000,,199.88,,,,,,,,,,,,,,,,,,,,,,true,true,12,2024-04-01,2025-03-31,0
2024-08-08,167A0,2025-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.00,,,,,,,false,true,12,2024-04-01,2025-03-31,0
2024-08-08,167A0,2025-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59777678,19753163,40025143,false,false,3,2024-04-01,2024-06-30,0
2024-11-08,167A0,2025-03-31,2,180057000000,,,,,,3398000000,,3333000000,,,5606000000,,140.03,139.92,,,,,253597000000,130255000000,0.514,3250.27,130226000000,,,,,,,,,,,,true,false,6,2024-04-01,2024-09-30,0
2024-11-08,167A0,2025-03-31,2,370000000000,,,,,,8000000000,,7000000000,,,8000000000,,199.80,,,,,,,,,,,,,,,,,,,,,,true,true,12,2024-04-01,2025-03-31,0
2024-11-08,167A0,2025-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.00,,,,,,,false,false,12,2024-04-01,2025-03-31,0
2024-11-08,167A0,2025-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.00,,,,,,,false,true,12,2024-04-01,2025-03-31,0
2024-11-08,167A0,2025-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59777678,19711366,40040146,false,false,6,2024-04-01,2024-09-30,0
2024-11-08,167A0,2025-03-31,,370000000000,-0.108,,,,,8000000000,-0.385,7000000000,-0.364,,8000000000,,199.80,,,,,,,,,,,,,,,,,,,,,,true,true,12,2024-04-01,2025-03-31,0
2025-02-07,167A0,2025-03-31,3,265573000000,,,,,,5728000000,,4898000000,,,7954000000,,198.63,198.48,,,,,244667000000,133161000000,0.544,3322.81,133132000000,,,,,,,,,,,,true,false,9,2024-04-01,2024-12-31,0
2025-02-07,167A0,2025-03-31,3,370000000000,,,,,,8000000000,,7000000000,,,8000000000,,199.80,,,,,,,,,,,,,,,,,,,,,,true,true,12,2024-04-01,2025-03-31,0
2025-02-07,167A0,2025-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.00,,,,,,,false,false,12,2024-04-01,2025-03-31,0
2025-02-07,167A0,2025-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.00,,,,,,,false,true,12,2024-04-01,2025-03-31,0
2025-02-07,167A0,2025-03-31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54000000,13933811,40048877,false,false,9,2024-04-01,2024-12-31,0
2025-05-14,167A0,2025-03-31,,359811000000,,,,,,8542000000,,7133000000,,,9387000000,,234.38,234.20,0.071,0.031,0.024,,230502000000,131450000000,0.570,3280.12,131421000000,13180000000,-15258000000,-17615000000,29674000000,,0.597,,,,,,true,false,12,2024-04-01,2025-03-31,0
2025-05-14,167A0,2026-03-31,,380000000000,0.056,,,,,9500000000,0.112,8000000000,0.121,,6000000000,,149.75,,,,,,,,,,,,,,,,0.935,,,,,,true,true,12,2025-04-01,2026-03-31,1
2025-05-14,167A0,2025-03-31,,7183000000,,,,,,5993000000,,5900000000,,5933000000,,,148.13,148.02,,,,,142404000000,119394000000,0.838,2979.23,119366000000,,,,,140.00,,,,54000000,13933851,40053138,false,false,12,2024-04-01,2025-03-31,0
2025-05-14,167A0,2026-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.00,,,,,,,false,true,12,2025-04-01,2026-03-31,1
