filing_date,code,fiscal_year_end,quarterly_period,net_sales,net_sales_change,revenue,revenue_change,operating_revenue,operating_revenue_change,operating_profit,operating_profit_change,ordinary_profit,ordinary_profit_change,net_income,net_income_of_parent,net_income_change,eps,diluted_eps,roe,roa,operating_profit_to_net_sales,operating_profit_to_revenue,total_assets,net_assets,equity_ratio,bps,owner_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash,dividend_per_share,payout_ratio,commemorative_dividend,extra_dividend,number_of_shares,number_of_treqsury_shares,avg_number_of_shares,is_consolidated,is_forecast,duration,period_start,period_end,period_pos
2015-05-12,42410,2015-03-31,,2361000000,-0.055,,,,,206000000,-0.196,249000000,-0.087,125000000,,-0.134,31.02,30.09,0.100,0.068,0.088,,3779000000,1385000000,0.355,327.80,1341000000,303000000,-359000000,27000000,1059000000,,0.322,,,,,,true,false,12,2014-04-01,2015-03-31,0
2015-05-12,42410,2014-03-31,,2500000000,0.000,,,,,257000000,0.208,272000000,0.194,145000000,,-0.302,36.24,36.09,0.131,0.076,0.103,,3509000000,1203000000,0.339,293.45,1189000000,531000000,-243000000,-368000000,1041000000,,0.276,,,,,,true,false,12,2013-04-01,2014-03-31,-1
2015-05-12,42410,2016-03-31,,2750000000,0.165,,,,,320000000,0.553,290000000,0.165,210000000,,0.680,51.32,,,,,,,,,,,,,,,,0.186,,,,,,true,true,12,2015-04-01,2016-03-31,1
2015-05-12,42410,2015-03-31,,2230000000,-0.082,,,,,56000000,-0.412,156000000,0.108,57000000,,-0.476,14.06,13.64,,,,,4140000000,1707000000,0.402,406.50,1663000000,,,,,10.00,,,,4207200,115127,4060669,false,false,12,2014-04-01,2015-03-31,0
2015-05-12,42410,2014-03-31,,2428000000,0.043,,,,,95000000,-0.265,141000000,-0.316,108000000,,-0.372,27.14,27.03,,,,,3989000000,1643000000,0.408,401.89,1628000000,,,,,10.00,,,,4207200,154707,4015204,false,false,12,2013-04-01,2014-03-31,-1
2015-05-12,42410,2016-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,false,true,12,2015-04-01,2016-03-31,1
2015-08-07,42410,2016-03-31,1,623000000,0.076,,,,,87000000,0.443,86000000,0.398,,60000000,,14.87,14.20,,,,,4109000000,1416000000,0.333,,1369000000,,,,,,,,,,,,true,false,3,2015-04-01,2015-06-30,0
2015-08-07,42410,2015-03-31,1,578000000,-0.143,,,,,60000000,-0.346,61000000,-0.293,,27000000,,6.68,6.61,,,,,,,,,,,,,,,,,,,,,true,false,3,2014-04-01,2014-06-30,-1
2015-08-07,42410,2016-03-31,1,2750000000,0.165,,,,,320000000,0.553,290000000,0.165,,210000000,,51.32,,,,,,,,,,,,,,,,,,,,,,true,true,12,2015-04-01,2016-03-31,0
2015-08-07,42410,2015-03-31,1,,,,,,,,,,,,,,,,,,,,3779000000,1385000000,0.355,,1341000000,,,,,,,,,,,,true,false,12,2014-04-01,2015-03-31,-1
2015-08-07,42410,2015-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,4207200,115127,,false,false,12,2014-04-01,2015-03-31,-1
2015-08-07,42410,2016-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,false,true,12,2015-04-01,2016-03-31,0
2015-08-07,42410,2016-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4207200,115247,4092044,false,false,3,2015-04-01,2015-06-30,0
2015-08-07,42410,2015-03-31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4053034,false,false,3,2014-04-01,2014-06-30,-1
2015-11-10,42410,2016-03-31,2,1250000000,0.070,,,,,152000000,0.248,82000000,-0.394,,62000000,,15.08,14.46,,,,,4301000000,1414000000,0.318,,1365000000,,,,,,,,,,,,true,false,6,2015-04-01,2015-09-30,0
2015-11-10,42410,2015-03-31,2,1168000000,-0.097,,,,,122000000,-0.128,135000000,-0.058,,70000000,,17.43,17.07,,,,,,,,,,,,,,,,,,,,,true,false,6,2014-04-01,2014-09-30,-1
2015-11-10,42410,2016-03-31,2,2750000000,0.165,,,,,320000000,0.553,290000000,0.165,,210000000,,51.32,,,,,,,,,,,,,,,,,,,,,,true,true,12,2015-04-01,2016-03-31,0
2015-11-10,42410,2015-03-31,2,,,,,,,,,,,,,,,,,,,,3779000000,1385000000,0.355,,1341000000,,,,,,,,,,,,true,false,12,2014-04-01,2015-03-31,-1
2015-11-10,42410,2015-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,4207200,115127,,false,false,12,2014-04-01,2015-03-31,-1
2015-11-10,42410,2016-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,false,false,12,2015-04-01,2016-03-31,0
2015-11-10,42410,2016-03-31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00,,,,,,,false,true,12,2015-04-01,2016-03-31,0
